"Duration","Durée"
"Days","Jours"
"Day","Jour"
"No","Non"
"Yes","Oui"
"-- Please select --","-- Sélectionner --"
"-- Please Select --","-- Sélectionner --"
"-- None --","-- Aucun --"
"Header","Header Template"
"Header Template","Header Template"
"Footer Template","Footer Template"
"Footer","Footer Template"
"Main template", "Main Template"
"Main Template", "Main Template"
"A transaction for auction %s was successfully generated","Une opération pour l'enchère %s à été générée avec succès"
"A transaction (%s) for auction %s was successfully generated","Une transaction (%s) pour l'enchère %s à été générée avec succès"
"A transaction (%s) for auction %s was successfully updated","Une transaction (%s) pour l'enchère %s à été mise à jour"
"Orders were created successfully","Les commandes ont été générées avec succès"
"Error saving quote","Erreur d'enregistrement"
"Error creating order","Erreur lors de la création de la commande"
"Auction item %s is out of stock. The requested amount was %d","L'objet pour l'enchère %s est épuisé. Le montant demandé est de %s"
"Payment Method: %s","Méthode de paiement: %s"
"Auction","Enchère"
"Item successfully deleted", "Objet supprimé avec succès"
"Items were updated successfully","Les objets ont bien été mis à jour"
"Please select at least one item","Veuillez sélectionner au moins un objet"
"Items were deleted successfully","Les objets ont bien été supprimés"
"Item was successfully saved","Objet enregistré avec succès"
"Item successfully deleted","Objet supprimé avec succès"
"Please select at least one simple product","Veuillez sélectionner au moins un produit simple"
"Default Values","Valeurs par défaut"
"Default Store","Magasin par défaut"
"%d Shipping Methods were successfully imported","%d Méthodes de livraison ont été importées avec succès"
"%d Payment Methods were successfully imported","%d Méthodes de paiement ont été importées avec succès"
"%d Categories were successfully imported","%d Catégories ont été importées avec succès"
"%d Store Categories were successfully imported","%d Catégories magasin ont été importées avec succès"
"Policies were successfully imported","Les conditions générales de vente ont été importées avec succès"
"Mappings were saved","Mappings erfolgreich gespeichert"
"Item was edited successfully","L'objet à bien été mis à jour"
"Auctions were exported successfully","Les enchères ont été exportées avec succès"
"Auction %s was exported successfully","L'enchère %s à été exportée avec succès"
"Policies","Conditions"
"Refund Option","Option de remboursement"
"Returns Accepted", "Reboursement autorisé"
"Returns Within","A retourner dans les"
"Description","Description"
"Payment Methods","Méthodes de paiement"
"Auction","Enchère"
"General Informations","Informations générales"
"Shipping Methods","Méthodes de livraisons"
"Categories","Catégories"
"Layout","Layout"
